p,d_40,eabc_p,e_d,a_d,b_d,c_d,omega_d,shell_d,H_d,E_d
1319,1279,C,0,0,1,0,1,0,1.0,-0.0
1321,1281,E,1,0,1,0,3,1,0.5,1.0
1327,1287,B,1,0,0,1,4,2,0.5,1.0
1361,1321,A,1,0,0,0,1,0,1.0,-0.0
1367,1327,C,0,0,1,0,1,0,1.0,-0.0
1373,1333,A,0,0,2,0,2,0,1.0,-0.0
1381,1341,E,0,1,0,0,3,2,1.0,-0.0
1399,1359,B,0,0,1,0,3,2,1.0,-0.0
1409,1369,A,2,0,0,0,2,0,1.0,-0.0
1423,1383,B,0,1,0,0,2,1,1.0,-0.0
1427,1387,C,1,0,1,0,2,0,0.5,1.0
1429,1389,E,0,0,1,0,2,1,1.0,-0.0
1433,1393,A,0,0,2,0,2,0,1.0,-0.0
1439,1399,C,0,0,1,0,1,0,1.0,-0.0
1447,1407,B,0,0,2,0,3,1,1.0,-0.0
1451,1411,C,0,1,0,1,2,0,0.5,1.0
1453,1413,E,1,0,0,0,3,2,1.0,-0.0
1459,1419,B,0,0,1,1,3,1,0.5,1.0
1471,1431,B,0,1,0,0,4,3,1.0,-0.0
1481,1441,A,0,0,0,2,2,0,1.0,-0.0
1483,1443,B,2,0,0,0,3,1,1.0,-0.0
1487,1447,C,0,0,1,0,1,0,1.0,-0.0
1489,1449,E,0,0,1,1,4,2,0.5,1.0
1493,1453,A,1,0,0,0,1,0,1.0,-0.0
1499,1459,C,0,0,1,0,1,0,1.0,-0.0
1511,1471,C,0,0,1,0,1,0,1.0,-0.0
1523,1483,C,0,0,1,0,1,0,1.0,-0.0
1531,1491,B,0,0,1,1,3,1,0.5,1.0
1543,1503,B,0,0,0,1,3,2,1.0,-0.0
1549,1509,E,0,0,0,1,2,1,1.0,-0.0
1553,1513,A,0,2,0,0,2,0,1.0,-0.0
1559,1519,C,0,0,3,0,3,0,1.0,-0.0
1567,1527,B,0,1,0,0,2,1,1.0,-0.0
1571,1531,C,0,0,1,0,1,0,1.0,-0.0
1579,1539,B,0,0,1,0,5,4,1.0,-0.0
1583,1543,C,0,0,1,0,1,0,1.0,-0.0
1597,1557,E,0,1,0,0,3,2,1.0,-0.0
1601,1561,A,0,0,2,0,2,0,1.0,-0.0
1607,1567,C,0,0,1,0,1,0,1.0,-0.0
1609,1569,E,0,0,1,0,2,1,1.0,-0.0
1613,1573,A,1,0,0,2,3,0,0.5555555555555556,0.9182958340544896
1619,1579,C,0,0,1,0,1,0,1.0,-0.0
1621,1581,E,0,1,1,0,3,1,0.5,1.0
1627,1587,B,0,0,0,2,3,1,1.0,-0.0
1637,1597,A,1,0,0,0,1,0,1.0,-0.0
1657,1617,E,0,0,2,1,4,1,0.5555555555555556,0.9182958340544896
1663,1623,B,1,0,0,0,2,1,1.0,-0.0
1667,1627,C,0,0,1,0,1,0,1.0,-0.0
1669,1629,E,1,0,0,0,3,2,1.0,-0.0
1693,1653,E,0,1,1,0,3,1,0.5,1.0
1697,1657,A,1,0,0,0,1,0,1.0,-0.0
1699,1659,B,0,0,2,0,3,1,1.0,-0.0
1709,1669,A,1,0,0,0,1,0,1.0,-0.0
1721,1681,A,0,2,0,0,2,0,1.0,-0.0
1723,1683,B,0,1,0,1,4,2,0.5,1.0
1733,1693,A,1,0,0,0,1,0,1.0,-0.0
1741,1701,E,0,0,1,0,6,5,1.0,-0.0
1747,1707,B,0,1,0,0,2,1,1.0,-0.0
1753,1713,E,0,0,1,0,2,1,1.0,-0.0
1759,1719,B,0,0,0,1,3,2,1.0,-0.0
1777,1737,E,1,0,0,0,3,2,1.0,-0.0
1783,1743,B,0,0,1,1,3,1,0.5,1.0
1787,1747,C,0,0,1,0,1,0,1.0,-0.0
1789,1749,E,0,1,0,1,3,1,0.5,1.0
1801,1761,E,0,0,0,1,2,1,1.0,-0.0
1811,1771,C,0,0,1,2,3,0,0.5555555555555556,0.9182958340544896
1823,1783,C,0,0,1,0,1,0,1.0,-0.0
1831,1791,B,0,0,1,0,3,2,1.0,-0.0
1847,1807,C,1,0,1,0,2,0,0.5,1.0
1861,1821,E,0,0,1,0,2,1,1.0,-0.0
1867,1827,B,0,1,1,0,4,2,0.5,1.0
1871,1831,C,0,0,1,0,1,0,1.0,-0.0
1873,1833,E,1,0,0,1,3,1,0.5,1.0
1877,1837,A,0,0,0,2,2,0,1.0,-0.0
1879,1839,B,1,0,0,0,2,1,1.0,-0.0
1889,1849,A,0,0,2,0,2,0,1.0,-0.0
1901,1861,A,1,0,0,0,1,0,1.0,-0.0
1907,1867,C,0,0,1,0,1,0,1.0,-0.0
1913,1873,A,1,0,0,0,1,0,1.0,-0.0
1931,1891,C,1,0,1,0,2,0,0.5,1.0
1933,1893,E,0,0,1,0,2,1,1.0,-0.0
1949,1909,A,0,0,0,2,2,0,1.0,-0.0
